web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization,title_reviews_df,title_tmdb_df,original_title,budget,original_language,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,genres,spoken_languages,production_countries
https://www.nytimes.com/2023/05/25/movies/you-hurt-my-feelings-review.html,"The director Nicole Holofcener’s characters are known for their brazen honesty. But it’s dishonesty that drives her new film, starring Julia Louis-Dreyfus.",The New York Times,"subject: Movies;persons: Holofcener, Nicole;persons: Louis-Dreyfus, Julia;persons: Menzies, Tobias;creative_works: You Hurt My Feelings (Movie);",2023-05-25T18:47:33+0000,1039,‘You Hurt My Feelings’ Review: She Can’t Handle the Truth,Critic’s Pick,,Welcome to the Little White Lie Club,,,,By Wesley Morris,,You Hurt My Feelings,You Hurt My Feelings,You Hurt My Feelings,0,en,https://a24films.com/films/you-hurt-my-feelings,A novelist's longstanding marriage is suddenly upended when she overhears her husband giving his honest reaction to her latest book.,18.626,93,5000000,2023-05-26,6.476,105,"Comedy, Drama, Romance","English, Spanish",United States of America
https://www.nytimes.com/2023/05/25/movies/the-attachment-diaries-review.html,"A gynecologist and her patient form a horrifyingly twisted connection in this batty, bloody Argentine melodrama.",The New York Times,"subject: Movies;creative_works: The Attachment Diaries (Movie);persons: Diment, Valentin Javier;",2023-05-25T11:00:03+0000,295,"‘The Attachment Diaries’ Review: Love, Sick",,,The Attachment Diaries,,,,By Jeannette Catsoulis,,The Attachment Diaries,The Attachment Diaries,El apego,0,es,,"Argentina, 1970s. A desperate young woman goes to a clinic to have a clandestine abortion. As her pregnancy is already through the fourth month, the doctor refuses. Instead, she proposes to sell the baby to one of her clients and offers to provide shelter in her house until the child is born. Their disturbed personalities will become intertwined in a strange and dangerous relationship.",1.601,102,0,2021-10-07,3.0,3,"Drama, Mystery, Thriller, Horror",Spanish,Argentina
https://www.nytimes.com/2023/05/24/movies/little-mermaid-review-halle-bailey.html,"Disney’s live-action remake, with Halle Bailey starring as Ariel and a diverse cast, is a dutiful corrective with noble intentions and little fun.",The New York Times,"subject: Movies;persons: Bailey, Halle (2000- );persons: Miranda, Lin-Manuel;creative_works: The Little Mermaid (Movie);organizations: Walt Disney Company;persons: McCarthy, Melissa;persons: Bardem, Javier;persons: Diggs, Daveed;persons: Lum, Nora (Awkwafina);persons: Marshall, Rob (1960- );persons: Musker, John;",2023-05-24T20:34:39+0000,1536,‘The Little Mermaid’ Review: The Renovations Are Only Skin Deep,,,Remake Finds Its Feet but Loses Its Bubbles,,,,By Wesley Morris,,The Little Mermaid,The Little Mermaid,The Little Mermaid,297000000,en,https://movies.disney.com/the-little-mermaid-2023,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",136.332,135,569600000,2023-05-18,6.39,2670,"Adventure, Family, Fantasy, Romance",English,United States of America
https://www.nytimes.com/2023/05/18/movies/stay-awake-review.html,This story of a small-town family impacted by addiction succeeds in humanizing its characters but falters when it tries to include a coming-of-age tale.,The New York Times,"subject: Movies;persons: Oleff, Wyatt;creative_works: Stay Awake (Movie);persons: Sisley, Jamie;persons: Metz, Chrissy (1980- );persons: Argus, Fin;",2023-05-18T17:41:48+0000,216,‘Stay Awake’ Review: Becoming Their Mother’s Caretakers,,,Stay Awake,,,,By Claire Shaffer,,Stay Awake,Stay Awake,Stay Awake,0,en,https://www.stayawakethefilm.com/,"Set against the backdrop of the prescription drug and opioid crisis in the USA, Jamie Sisley depicts the individual consequences of a societal tragedy, while taking an unflinching yet gentle look at a complicated web of relationships.",7.065,94,0,2023-05-19,6.0,2,Drama,English,United States of America
https://www.nytimes.com/2023/05/18/movies/master-gardener-review-paul-schrader.html,"The director’s latest movie completes a trilogy about men in search of grace in a brutal world — usually by way of women, but thankfully they are vivid, too.",The New York Times,"subject: Movies;persons: Edgerton, Joel;persons: Schrader, Paul;persons: Swindell, Quintessa;persons: Weaver, Sigourney;creative_works: Master Gardener (Movie);",2023-05-18T17:33:25+0000,982,‘Master Gardener’ Review: Paul Schrader’s Solitary Man,Critic’s Pick,,"A Man Tends His Garden, With Help",,,,By Manohla Dargis,,Master Gardener,Master Gardener,Master Gardener,0,en,,"Narvel Roth is a meticulous horticulturist who is devoted to tending the grounds of a beautiful estate and pandering to his employer, the wealthy dowager Mrs. Haverhill. When she demands that he take on her wayward and troubled niece, it unlocks dark secrets from a buried violent past.",19.746,111,563772,2023-05-19,6.267,163,"Drama, Romance, Thriller",English,"Australia, United Kingdom, United States of America"
https://www.nytimes.com/2023/05/18/movies/the-cow-who-sang-a-song-into-the-future-review.html,This lyrical debut feature from Francisca Alegría is a slow-burning parable about our relationship to each other and to the living world.,The New York Times,"subject: Movies;creative_works: The Cow Who Sang a Song Into the Future (Movie);persons: Alegria, Francisca;",2023-05-18T11:00:03+0000,335,‘The Cow Who Sang a Song Into the Future’ Review: Mother Resurrected,Critic’s Pick,,The Cow Who Sang A Song Into the Future,,,,By Brandon Yu,,The Cow Who Sang a Song Into the Future,The Cow Who Sang a Song into the Future,La vaca que canto una cancion sobre el futuro,0,es,https://www.the-match-factory.com/catalogue/films/the-cow-who-sang-a-song-into-the-future.html,A Chilean family is shaken by the sudden return of a long-dead matriarch.,5.409,99,0,2023-03-24,5.714,7,Drama,Spanish,"Germany, Chile, France"
https://www.nytimes.com/2023/05/16/movies/anna-nicole-smith-you-dont-know-me-review.html,"The tumultuous life and death of the model, actress and tabloid superstar is related with little insight in this facile Netflix documentary.",The New York Times,"subject: Documentary Films and Programs;subject: Content Type: Personal Profile;subject: Actors and Actresses;subject: Models (Professional);persons: Smith, Anna Nicole;persons: Macfarlane, Ursula;",2023-05-16T16:39:50+0000,321,‘Anna Nicole Smith: You Don’t Know Me’ Review: Mistreated,,,Anna Nicole Smith:  You Don’t Know Me,,,,By Calum Marsh,,Anna Nicole Smith: You Don’t Know Me,Anna Nicole Smith: You Don't Know Me,Anna Nicole Smith: You Don't Know Me,0,en,https://www.netflix.com/title/81380540,"From the heights of her modeling fame to her tragic death, this documentary reveals Anna Nicole Smith through the eyes of the people closest to her.",10.258,116,0,2023-05-16,6.102,54,Documentary,English,United States of America
https://www.nytimes.com/2023/05/16/movies/giving-birth-to-a-butterfly-review.html,"Steeped in a distinctly American nostalgia, this beautifully peculiar debut feature has a Lynchian quality.",The New York Times,"subject: Movies;creative_works: Giving Birth to a Butterfly (Movie);persons: Schaefer, Theodore;persons: Lynch, David;",2023-05-16T14:46:09+0000,344,‘Giving Birth to a Butterfly’ Review: Melancholy and Menace,,,Giving Birth To a Butterfly,,,,By Beatrice Loayza,,Giving Birth to a Butterfly,Giving Birth to a Butterfly,Giving Birth to a Butterfly,0,en,,"After having her identity stolen, a woman, and her son's pregnant girlfriend, bond together on a surreal journey as they attempt to track down the perpetrators.",7.251,77,0,2023-05-01,4.0,2,"Drama, Comedy, Mystery",English,United States of America
https://www.nytimes.com/2023/05/11/movies/the-starling-girl-review-as-the-spirit-moves.html,Eliza Scanlen plays a pious teenager who begins an affair with her youth pastor in this tender coming-of-age drama.,The New York Times,"subject: Movies;persons: Scanlen, Eliza;persons: Pullman, Lewis (1993- );creative_works: The Starling Girl (Movie);persons: Parmet, Laurel;",2023-05-11T15:38:38+0000,265,‘The Starling Girl’ Review: As the Spirit Moves,,,The Starling Girl,,,,By Natalia Winkelman,,The Starling Girl,The Starling Girl,The Starling Girl,0,en,https://bleeckerstreetmedia.com/the-starling-girl/,17-year-old Jem Starling struggles with her place within her Christian fundamentalist community. But everything changes when her magnetic youth pastor Owen returns to their church.,51.165,116,0,2023-05-12,6.467,30,Drama,English,"United Kingdom, United States of America"
https://www.nytimes.com/2023/05/11/movies/it-aint-over-review-yogi-berra-documentary.html,"The baseball player, known for his quirky malapropisms, was perpetually underestimated. But a new documentary proves he was a phenomenal talent.",The New York Times,"persons: Berra, Yogi;creative_works: It Ain't Over (Movie);subject: Baseball;subject: Documentary Films and Programs;subject: Movies;persons: Berra, Lindsay;persons: Mullin, Sean;subject: Content Type: Personal Profile;",2023-05-11T11:00:10+0000,519,"‘It Ain’t Over’ Review: When Yogi Berra Saw a Strike, He Hit It",Critic’s Pick,,Accidental Zen Master And Star Ballplayer,,,,By Glenn Kenny,,It Ain’t Over,It Ain’t Over,It Ain’t Over,0,en,,"It Ain't Over is the story of the hope of survival for two athletic teenagers, Alexis Hamilton and Chance Logan, stricken with cancer. This emotional story deals with the complex realities of death and the fragility of life.",0.871,0,0,,0.0,0,,,
